geometry,n,model,form,a,a_lo,a_hi,alpha,alpha_se,beta,beta_se,r2_log,adj_r2_log,rmse_log,rmse_rel,aic,bic,loco_rmse_log,n_params,n_points
point,3,M4,a·σ_log^α·(L/√A)^β,0.3231308088757967,0.247666452234735,0.4215892734061734,1.1471008963525673,0.13422617547443394,0.5147983523525677,0.08242505474432765,0.9491709856482691,0.9322279808643588,0.1330823426066336,0.1376163507908206,-4.761276452160166,-4.169602720151508,0.19653667569998642,3,9
point,3,M5,"a·CV/√N_eff,lognormal",0.3425664313647289,0.29700661240828824,0.39511497386005917,,,,,0.8782792125671346,0.8782792125671346,0.20594296901205544,0.20738503552444618,-0.9019143659285787,-0.7046897885923591,0.23168584013856242,1,9
point,3,M6,"a·σ_log/√N_eff,lognormal",0.4319141828725442,0.3595676453263448,0.5188171510736019,,,,,0.7991415445839041,0.7991415445839041,0.26455114909744804,0.25825691732613626,3.605921608806925,3.8031461861431444,0.29762004273462905,1,9
point,4,M0,a·CV,0.09747387722723243,0.07357039033820711,0.12914375875990655,,,,,0.5469386185375082,0.5469386185375082,0.4059973022162282,0.38449280045928996,11.315535842262372,11.512760419598592,0.4567469649932566,1,9
point,4,M1,a·L/√A,0.42000220494051665,0.282334438120529,0.6247975037306271,,,,,0.09710694856260049,0.09710694856260049,0.5731427203813821,0.6358396139497443,17.5217242813812,17.718948858717418,0.6447855604290551,1,9
point,4,M2,a·CV·L/√A,0.42000220494051665,0.3273025475810414,0.5389565509300472,,,,,0.6440455671001087,0.6440455671001087,0.35986683825097077,0.353793469508381,9.14451182296078,9.341736400297,0.40485019303234204,1,9
point,4,M3,a·CV^α·(L/√A)^β,0.2147145127014301,0.15657975659677292,0.29443347573553924,0.8106262697219224,0.11707990853237556,0.5406572899693375,0.10052559178398515,0.9275920233707972,0.9034560311610629,0.1623072169988648,0.1709305909502246,-1.1878644938914196,-0.5961907618827613,0.23509032297777993,3,9
point,4,M4,a·σ_log^α·(L/√A)^β,0.27909821247823396,0.20093322821083834,0.3876701374986606,1.131571219818959,0.16582624256147632,0.5406572899693373,0.10182989325937572,0.9257008728300118,0.9009344971066824,0.164413123950928,0.1731521755592161,-0.9558198652147265,-0.36414613320606826,0.2401819504602182,3,9
point,4,M5,"a·CV/√N_eff,lognormal",0.2859450825286866,0.24471685151986594,0.33411916553568355,,,,,0.8612431852030239,0.8612431852030239,0.22468381342590218,0.2346854802443017,0.6657930999424511,0.8630176772786706,0.25276929010413995,1,9
point,4,M6,"a·σ_log/√N_eff,lognormal",0.3605249240994838,0.2976191903602469,0.4367266127550751,,,,,0.7895530618158414,0.7895530618158414,0.276704314615202,0.275702648370415,4.414389212177514,4.611613789513733,0.3112923539421022,1,9
