run,L_m,CV,seed,n,geometry,covariance_model,source_dx_m,source_nx,source_ny,domain_area_m2,path_length_total_m,path_length_each_m,Q_true_kg_s,Q_true_recomputed_kg_s,Q_prior_kg_s,Q_hat_kg_s,posterior_sigma_kg_s,e_signed,e_abs,converged,n_iter,method,n_obs,n_state,dof,dfs,prior_influence,ak_diag,chi2,chi2_per_dof,sigma_repr_mean_ng_m3,inverse_crime_flag,total_only,inversion_template,n_fine_cells,state_units,obs_units,jacobian_units,nature_run,E_Q_reported
source_heterogeneity_les_rice_paddy_l250_cv1p0_s1_wind3_n1_op,250.0,1.0,1,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.030466707035832256,0.010876612596965455,0.09679267894852962,0.09679267894852962,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,1.0982209736538366e-07,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv1p0_s1_wind3_surface,0.09679267894852948
source_heterogeneity_les_rice_paddy_l250_cv1p0_s2_wind3_n1_op,250.0,1.0,2,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.02417905490447596,0.010876612596965455,-0.1295609869509698,0.1295609869509698,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,6.916993116191505e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv1p0_s2_wind3_surface,0.1295609869509699
source_heterogeneity_les_rice_paddy_l250_cv1p0_s3_wind3_n1_op,250.0,1.0,3,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.022930352367799018,0.010876612596965455,-0.17451391864788618,0.17451391864788618,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,6.22099937435794e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv1p0_s3_wind3_surface,0.1745139186478861
source_heterogeneity_les_rice_paddy_l250_cv1p0_s4_wind3_n1_op,250.0,1.0,4,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.02788885989766907,0.010876612596965455,0.003990924388691371,0.003990924388691371,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,9.202381247236608e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv1p0_s4_wind3_surface,0.003990924388691245
source_heterogeneity_les_rice_paddy_l250_cv1p0_s5_wind3_n1_op,250.0,1.0,5,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.022925119128322312,0.010876612596965455,-0.1747023137618867,0.1747023137618867,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,6.21816014505727e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv1p0_s5_wind3_surface,0.17470231376188658
source_heterogeneity_les_rice_paddy_l250_cv1p0_s6_wind3_n1_op,250.0,1.0,6,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.025760497849755225,0.010876612596965455,-0.07262949637284094,0.07262949637284094,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,7.851401824934064e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv1p0_s6_wind3_surface,0.07262949637284083
source_heterogeneity_les_rice_paddy_l250_cv1p0_s7_wind3_n1_op,250.0,1.0,7,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.02852134984284464,0.010876612596965455,0.026760380259364915,0.026760380259364915,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,9.624514963342567e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l250_cv1p0_s7_wind3_surface,0.026760380259365044
source_heterogeneity_les_rice_paddy_l500_cv1p0_s0_wind3_n1_op,500.0,1.0,0,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.025157623680501857,0.010876612596965455,-0.09433279283959047,0.09433279283959047,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,7.488208590080297e-08,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l500_cv1p0_s0_wind3_surface,0.09433279283959035
source_heterogeneity_les_rice_paddy_l500_cv1p0_s1_wind3_n1_op,500.0,1.0,1,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027778000000000004,0.0,0.03390168357956193,0.010876612596965455,0.22045084525746733,0.22045084525746733,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,1.3598193999661526e-07,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l500_cv1p0_s1_wind3_surface,0.22045084525746717
source_heterogeneity_les_rice_paddy_l500_cv1p0_s2_wind3_n1_op,500.0,1.0,2,1,open_path,exponential,40.0,25,25,1000000.0,1000.0,1000.0,0.027778,0.027777999999999997,0.0,0.033352344143752495,0.010876612596965455,0.20067478377681958,0.20067478377681958,True,1,nonnegative,1,1,0,0.9998816992984155,0.00011830070158447281,0.9998816992984155,1.3161076919866047e-07,,36833.462887422305,False,True,uniform,625,kg s-1,ng m-3,ng m-3 / (kg s-1),source_heterogeneity_les_rice_paddy_l500_cv1p0_s2_wind3_surface,0.20067478377681974
