geometry,n,CV,L_m,sigma_rep_pred,cover68_reported,cover95_reported,cover68_widened,cover95_widened,logscore_reported,logscore_widened
point,3,0.5,500.0,0.0901930716856646,0.875,1.0,0.875,1.0,3.8648768581431576,3.8265533032314
point,3,1.0,100.0,0.07361721150564055,1.0,1.0,1.0,1.0,4.0226483620095,3.9835527891898153
point,3,1.0,250.0,0.12368163534680926,1.0,1.0,1.0,1.0,3.9987093607898503,3.9002492601846335
point,3,1.0,500.0,0.16419280725003982,0.625,0.875,0.75,1.0,3.624712430138933,3.5802160583653837
point,3,2.0,100.0,0.11827332217610688,0.875,1.0,0.875,1.0,3.905308034742471,3.832617828819696
point,3,2.0,250.0,0.23274375251467455,0.875,1.0,1.0,1.0,3.8515651659221692,3.6356517262689008
point,3,2.0,500.0,0.29873749810565386,0.625,0.875,0.75,1.0,3.1559284869631923,3.2535768875220112
point,4,0.5,100.0,0.03443287453541998,1.0,1.0,1.0,1.0,4.204793718853677,4.192085180773606
point,4,0.5,250.0,0.06204530046395962,1.0,1.0,1.0,1.0,4.188339999559993,4.149554553681874
point,4,0.5,500.0,0.07632093475292692,1.0,1.0,1.0,1.0,4.143820234237859,4.091564488504767
point,4,1.0,100.0,0.059895047901960013,1.0,1.0,1.0,1.0,4.141831250513589,4.109191917847365
point,4,1.0,250.0,0.10419997294113253,1.0,1.0,1.0,1.0,4.093433634230279,4.010084348561156
point,4,1.0,500.0,0.13862005800551697,0.875,1.0,0.875,1.0,3.910808616042767,3.827438982081028
point,4,2.0,100.0,0.09331237012454253,0.875,1.0,0.875,1.0,3.9454722842315726,3.9026990901696577
point,4,2.0,250.0,0.19719842944427407,0.625,1.0,0.875,1.0,3.8636729363300537,3.7197267044746747
point,4,2.0,500.0,0.24658197312965713,0.5,0.875,0.875,1.0,3.430371432881614,3.4636157992961305
