run,Q_pred_no_transport_error_kg_s,e_pure_representativeness,e_transport
source_heterogeneity_les_rice_paddy_l100_cv0p5_s5_wind3_n2_op,0.026140829182928035,-0.058937677913167466,0.01723015853539637
source_heterogeneity_les_rice_paddy_l100_cv0p5_s6_wind3_n2_op,0.02544225479053958,-0.08408615485133636,0.042479660169443656
source_heterogeneity_les_rice_paddy_l100_cv0p5_s7_wind3_n2_op,0.026526109964649904,-0.04506768073115762,0.06459960399927872
source_heterogeneity_les_rice_paddy_l250_cv0p5_s0_wind3_n2_op,0.02838097607289819,0.02170696496861506,-0.008885280325245859
source_heterogeneity_les_rice_paddy_l250_cv0p5_s1_wind3_n2_op,0.028920876356176947,0.04114321967661266,0.03066141294636844
source_heterogeneity_les_rice_paddy_l250_cv0p5_s2_wind3_n2_op,0.02433975696793813,-0.12377575894815578,0.06258653241824358
source_heterogeneity_les_rice_paddy_l250_cv0p5_s3_wind3_n2_op,0.025351719299989355,-0.08734540643713176,-0.003611650500870839
source_heterogeneity_les_rice_paddy_l250_cv0p5_s4_wind3_n2_op,0.02705373435927643,-0.026073354479212673,0.036899477751392774
source_heterogeneity_les_rice_paddy_l250_cv0p5_s5_wind3_n2_op,0.02641114134369319,-0.049206517974901345,0.003494915961851648
source_heterogeneity_les_rice_paddy_l250_cv0p5_s6_wind3_n2_op,0.025643241571740524,-0.07685068861183228,0.04196823552524618
source_heterogeneity_les_rice_paddy_l250_cv0p5_s7_wind3_n2_op,0.026726970816939637,-0.03783674789618993,0.07186894868815044
source_heterogeneity_les_rice_paddy_l500_cv0p5_s0_wind3_n2_op,0.027728580233844002,-0.001779097348837145,-0.013483100979975755
source_heterogeneity_les_rice_paddy_l500_cv0p5_s1_wind3_n2_op,0.031732831142831,0.1423727821596587,-0.0012590678337064953
source_heterogeneity_les_rice_paddy_l500_cv0p5_s2_wind3_n2_op,0.031030260516214356,0.11708044194018129,0.015135651725540614
source_heterogeneity_les_rice_paddy_l500_cv0p5_s3_wind3_n2_op,0.027196426237995307,-0.020936487940265456,0.027125162022917655
source_heterogeneity_les_rice_paddy_l500_cv0p5_s4_wind3_n2_op,0.024868006688219545,-0.10475892115272717,0.023735646234266466
source_heterogeneity_les_rice_paddy_l500_cv0p5_s5_wind3_n2_op,0.025228161269934435,-0.09179345993468088,0.05600110818987318
source_heterogeneity_les_rice_paddy_l500_cv0p5_s6_wind3_n2_op,0.02962982311911459,0.06666509896733346,-0.006476555762419858
source_heterogeneity_les_rice_paddy_l500_cv0p5_s7_wind3_n2_op,0.03465564714109892,0.2475933163330305,-0.004005463313255797
source_heterogeneity_les_rice_paddy_l100_cv1p0_s0_wind3_n2_op,0.02728473128363076,-0.0177575317290388,-0.007282369596320098
source_heterogeneity_les_rice_paddy_l100_cv1p0_s1_wind3_n2_op,0.02914477886124944,0.04920364537581679,0.028474938260609713
source_heterogeneity_les_rice_paddy_l100_cv1p0_s2_wind3_n2_op,0.023533024976306976,-0.1528178783099224,0.06518165966756521
source_heterogeneity_les_rice_paddy_l100_cv1p0_s3_wind3_n2_op,0.025608312030796988,-0.07810814202617225,-0.012815626746448955
source_heterogeneity_les_rice_paddy_l100_cv1p0_s4_wind3_n2_op,0.02785031714652876,0.0026033964478637834,0.05417822328359632
source_heterogeneity_les_rice_paddy_l100_cv1p0_s5_wind3_n2_op,0.02355114170877985,-0.1521656811584762,0.016175297772789088
source_heterogeneity_les_rice_paddy_l100_cv1p0_s6_wind3_n2_op,0.023890115926428958,-0.13996270694690197,0.05576844466374077
source_heterogeneity_les_rice_paddy_l100_cv1p0_s7_wind3_n2_op,0.02587616337944261,-0.06846557061550114,0.08977355891483443
source_heterogeneity_les_rice_paddy_l250_cv1p0_s0_wind3_n2_op,0.02763031101784564,-0.005316760823470419,-0.02372335541946488
source_heterogeneity_les_rice_paddy_l250_cv1p0_s1_wind3_n2_op,0.029678117063535497,0.06840366705794139,0.030778085066453617
source_heterogeneity_les_rice_paddy_l250_cv1p0_s2_wind3_n2_op,0.022109183152663137,-0.2040757738979359,0.08604354585185231
source_heterogeneity_les_rice_paddy_l250_cv1p0_s3_wind3_n2_op,0.023706384196857604,-0.1465769962971559,-0.022793791488375903
source_heterogeneity_les_rice_paddy_l250_cv1p0_s4_wind3_n2_op,0.026508438977512205,-0.0457038311789112,0.052731000099713196
source_heterogeneity_les_rice_paddy_l250_cv1p0_s5_wind3_n2_op,0.023632795370190255,-0.14922617286376794,-0.010953297060765477
source_heterogeneity_les_rice_paddy_l250_cv1p0_s6_wind3_n2_op,0.024129117245912688,-0.13135872827731704,0.05456587042312183
source_heterogeneity_les_rice_paddy_l250_cv1p0_s7_wind3_n2_op,0.02595586540186714,-0.06559632076221694,0.10283850029381414
source_heterogeneity_les_rice_paddy_l500_cv1p0_s0_wind3_n2_op,0.0269008923614794,-0.03157562238176253,-0.04560075213120337
source_heterogeneity_les_rice_paddy_l500_cv1p0_s1_wind3_n2_op,0.034815705244928816,0.25335536197454156,-0.02078297567949436
source_heterogeneity_les_rice_paddy_l500_cv1p0_s2_wind3_n2_op,0.03340642555278975,0.20262169892683948,0.011431129921123523
source_heterogeneity_les_rice_paddy_l500_cv1p0_s3_wind3_n2_op,0.02681257635946295,-0.03475497301954966,0.02371320089419126
source_heterogeneity_les_rice_paddy_l500_cv1p0_s4_wind3_n2_op,0.02259382251501397,-0.18662889642832572,0.014804315735371526
source_heterogeneity_les_rice_paddy_l500_cv1p0_s5_wind3_n2_op,0.023197659725094938,-0.1648909307691361,0.0789821222076872
source_heterogeneity_les_rice_paddy_l500_cv1p0_s6_wind3_n2_op,0.030236164068915987,0.08849319853538722,-0.024478013716425412
source_heterogeneity_les_rice_paddy_l500_cv1p0_s7_wind3_n2_op,0.04063593646522445,0.4628820096920025,-0.03915736686123411
source_heterogeneity_les_rice_paddy_l100_cv2p0_s0_wind3_n2_op,0.02564532719769196,-0.07677560667823607,-0.016871481098208824
source_heterogeneity_les_rice_paddy_l100_cv2p0_s1_wind3_n2_op,0.0294649169477871,0.06072852429214122,0.029078617644830274
source_heterogeneity_les_rice_paddy_l100_cv2p0_s2_wind3_n2_op,0.021304125017374713,-0.23305763491343104,0.08337049121673093
source_heterogeneity_les_rice_paddy_l100_cv2p0_s3_wind3_n2_op,0.024363635390067407,-0.12291614262843234,-0.017164275527354667
source_heterogeneity_les_rice_paddy_l100_cv2p0_s4_wind3_n2_op,0.028361881882355496,0.021019579608160976,0.09388144916678823
source_heterogeneity_les_rice_paddy_l100_cv2p0_s5_wind3_n2_op,0.017369519296040626,-0.3747023077240757,0.03357767909273579
source_heterogeneity_les_rice_paddy_l100_cv2p0_s6_wind3_n2_op,0.02242153307591167,-0.19283126661704697,0.07405465639921748
source_heterogeneity_les_rice_paddy_l100_cv2p0_s7_wind3_n2_op,0.025672225501930025,-0.07580727547231533,0.11307634617648224
source_heterogeneity_les_rice_paddy_l250_cv2p0_s0_wind3_n2_op,0.025350123616180095,-0.08740285059471184,-0.02416855498944996
source_heterogeneity_les_rice_paddy_l250_cv2p0_s1_wind3_n2_op,0.030528080393485795,0.09900210214867142,0.028904960821180492
source_heterogeneity_les_rice_paddy_l250_cv2p0_s2_wind3_n2_op,0.020155768379576427,-0.27439814315010347,0.10460563481736657
source_heterogeneity_les_rice_paddy_l250_cv2p0_s3_wind3_n2_op,0.02185396985261987,-0.21326337919865107,-0.03838270794851145
source_heterogeneity_les_rice_paddy_l250_cv2p0_s4_wind3_n2_op,0.025952363373703588,-0.06572239276752871,0.08192960214055921
source_heterogeneity_les_rice_paddy_l250_cv2p0_s5_wind3_n2_op,0.017993723977751102,-0.3522311189520087,-0.010959484857258894
source_heterogeneity_les_rice_paddy_l250_cv2p0_s6_wind3_n2_op,0.022650728957108165,-0.18458028090185885,0.07040186885989805
source_heterogeneity_les_rice_paddy_l250_cv2p0_s7_wind3_n2_op,0.025283369432540184,-0.08980598198069754,0.13314807217536104
source_heterogeneity_les_rice_paddy_l500_cv2p0_s0_wind3_n2_op,0.02526538443427922,-0.09045343673845424,-0.08092817873299635
source_heterogeneity_les_rice_paddy_l500_cv2p0_s1_wind3_n2_op,0.03844113912317911,0.3838699374749482,-0.0412468623728785
source_heterogeneity_les_rice_paddy_l500_cv2p0_s2_wind3_n2_op,0.036050828249187684,0.2978194344152813,0.014350823941080115
source_heterogeneity_les_rice_paddy_l500_cv2p0_s3_wind3_n2_op,0.026414892306747866,-0.04907148438520178,0.01747337252730788
source_heterogeneity_les_rice_paddy_l500_cv2p0_s4_wind3_n2_op,0.020065599162459178,-0.2776442089977976,-0.0012207811253604484
source_heterogeneity_les_rice_paddy_l500_cv2p0_s5_wind3_n2_op,0.020812307170732503,-0.2507629357501439,0.10532625395620782
source_heterogeneity_les_rice_paddy_l500_cv2p0_s6_wind3_n2_op,0.030339604338046996,0.09221701843354435,-0.03944005286138875
source_heterogeneity_les_rice_paddy_l500_cv2p0_s7_wind3_n2_op,0.04853039085493214,0.7470800941368039,-0.0963983377305282
source_heterogeneity_les_rice_paddy_l100_cv0p5_s0_wind3_n3_op,0.027728447423402695,-0.0017838784864751221,0.024174361596769722
source_heterogeneity_les_rice_paddy_l100_cv0p5_s1_wind3_n3_op,0.028751353263296232,0.0350404371551671,0.0323200268783029
source_heterogeneity_les_rice_paddy_l100_cv0p5_s2_wind3_n3_op,0.02566567479251315,-0.07604309912473368,0.045472938369255686
source_heterogeneity_les_rice_paddy_l100_cv0p5_s3_wind3_n3_op,0.026572448520402935,-0.04339950606944582,0.008735794094202123
source_heterogeneity_les_rice_paddy_l100_cv0p5_s4_wind3_n3_op,0.027543415035361826,-0.008444991167044941,0.04395025573941694
source_heterogeneity_les_rice_paddy_l100_cv0p5_s5_wind3_n3_op,0.026247314783389795,-0.055104226964151695,0.021876097611119992
source_heterogeneity_les_rice_paddy_l100_cv0p5_s6_wind3_n3_op,0.02616272842327047,-0.05814931156777054,0.03949838946815824
source_heterogeneity_les_rice_paddy_l100_cv0p5_s7_wind3_n3_op,0.02692985469060317,-0.030532986874390853,0.06510507205785845
source_heterogeneity_les_rice_paddy_l250_cv0p5_s0_wind3_n3_op,0.028163555732665303,0.013879895336788201,0.011511557943215098
source_heterogeneity_les_rice_paddy_l250_cv0p5_s1_wind3_n3_op,0.02903725829300022,0.045332935884520864,0.03352710001298334
source_heterogeneity_les_rice_paddy_l250_cv0p5_s2_wind3_n3_op,0.02463428546975052,-0.1131728177064397,0.058609900146941896
source_heterogeneity_les_rice_paddy_l250_cv0p5_s3_wind3_n3_op,0.025571537744995754,-0.07943200572410707,0.0038968394883313606
source_heterogeneity_les_rice_paddy_l250_cv0p5_s4_wind3_n3_op,0.02692602734854252,-0.03067077008630863,0.04526229222103413
source_heterogeneity_les_rice_paddy_l250_cv0p5_s5_wind3_n3_op,0.02648830359196083,-0.0464286992598161,0.0103193864226915
source_heterogeneity_les_rice_paddy_l250_cv0p5_s6_wind3_n3_op,0.026458309587669863,-0.047508474776086725,0.03703014636044283
source_heterogeneity_les_rice_paddy_l250_cv0p5_s7_wind3_n3_op,0.027169121452513944,-0.02191945235387921,0.0725524596791848
source_heterogeneity_les_rice_paddy_l500_cv0p5_s0_wind3_n3_op,0.0273821185118433,-0.014251619560684707,0.003029067333953908
source_heterogeneity_les_rice_paddy_l500_cv0p5_s1_wind3_n3_op,0.031348924249507255,0.12855224456430464,0.010066690859494049
source_heterogeneity_les_rice_paddy_l500_cv0p5_s2_wind3_n3_op,0.030670603905179228,0.10413290752319199,0.028903771889569024
source_heterogeneity_les_rice_paddy_l500_cv0p5_s3_wind3_n3_op,0.027523653918339195,-0.009156385688703493,0.02858128394167909
source_heterogeneity_les_rice_paddy_l500_cv0p5_s4_wind3_n3_op,0.02513326133764953,-0.0952098301659756,0.026404796093022306
source_heterogeneity_les_rice_paddy_l500_cv0p5_s5_wind3_n3_op,0.024784039396094512,-0.10778171948684169,0.0721777144724059
source_heterogeneity_les_rice_paddy_l500_cv0p5_s6_wind3_n3_op,0.028974338578730423,0.04306784429154089,0.01472091382846051
source_heterogeneity_les_rice_paddy_l500_cv0p5_s7_wind3_n3_op,0.03412768736261919,0.2285869163589599,0.013218627429686602
source_heterogeneity_les_rice_paddy_l100_cv1p0_s0_wind3_n3_op,0.026933820164331004,-0.030390230962236166,0.020532918054924666
source_heterogeneity_les_rice_paddy_l100_cv1p0_s1_wind3_n3_op,0.029333882156310144,0.05601130953668887,0.02901520582741743
source_heterogeneity_les_rice_paddy_l100_cv1p0_s2_wind3_n3_op,0.02411271212234032,-0.1319493080012845,0.048639159316450783
source_heterogeneity_les_rice_paddy_l100_cv1p0_s3_wind3_n3_op,0.025734409245098577,-0.07356867862702225,-0.004108511281654251
source_heterogeneity_les_rice_paddy_l100_cv1p0_s4_wind3_n3_op,0.02765201938164384,-0.0045352659786939,0.0593020801553584
source_heterogeneity_les_rice_paddy_l100_cv1p0_s5_wind3_n3_op,0.02373860889582163,-0.14541691641509003,0.02067060444618983
source_heterogeneity_les_rice_paddy_l100_cv1p0_s6_wind3_n3_op,0.024968487622846446,-0.10114163644443643,0.04841636482283883
source_heterogeneity_les_rice_paddy_l100_cv1p0_s7_wind3_n3_op,0.02659747880476682,-0.042498423041010175,0.08464508730763448
