geometry,n,CV,L_m,m_realizations,bias,bias_se,bias_p,MAE,RMSE,sigma_rep,sigma_rep_lo,sigma_rep_hi,sigma_rep_chi2_lo,sigma_rep_chi2_hi,bias_pure,sigma_rep_pure,RMSE_pure,sd_pred_loglinear,sampler
open_path,1,1.25,100.0,20,0.005902235162951167,0.02859470696784837,0.8386663966262424,0.09869637327524464,0.1247811061214156,0.1278794171535917,0.08877884930042483,0.15683243821621617,0.09725106837780943,0.18677704953799354,-0.021484916074060133,0.13213631327520717,0.13057031301323788,0.16942032706418056,circulant
open_path,1,1.25,150.0,20,0.00862380186404447,0.03499559911771456,0.8079957306220723,0.12418244157891367,0.15278585390388144,0.15650507708108286,0.10693985901002324,0.19036996800561995,0.11902060778402007,0.2285868764932817,-0.01710968713700505,0.16518168707971048,0.1619057801719896,0.20710752903709745,circulant
open_path,1,1.25,200.0,20,0.010332761008729074,0.03896970390173473,0.793750359247324,0.1382962447773547,0.17017897805443605,0.1742778139746353,0.12082814711008118,0.21411882474217556,0.13253660347251886,0.254545231896214,-0.013718292026798678,0.18708121470492414,0.18285951817400414,0.2306421040453442,circulant
open_path,1,1.25,250.0,20,0.01131864273658673,0.04127510973470967,0.7868714217827307,0.1454160199653711,0.18026971643077677,0.18458790229114827,0.12126209117487276,0.22542862482810877,0.14037732660191965,0.269603854457197,-0.01149689145268926,0.2004684510591172,0.19573042274928676,0.24497773639169698,circulant
open_path,1,1.25,300.0,20,0.011949038781411377,0.04247916106347803,0.781527179108222,0.15051301470993653,0.18554752193516608,0.18997258353019827,0.12615373929839593,0.23206873843373457,0.14447232496074547,0.2774685671444967,-0.010079722286270595,0.2079921357175247,0.20297608946791912,0.253342111402315,circulant
open_path,1,1.25,400.0,20,-0.009322888791276985,0.045092754995873396,0.8384053000348543,0.15517464471192752,0.19677573723570177,0.20166093092703233,0.14092293768536224,0.24862018306854658,0.15336120088162836,0.29454023582542044,-0.02094689491524005,0.22268828985553044,0.21805811868268474,0.25968811270659053,cholesky
open_path,1,1.25,500.0,20,-0.0013346208528365589,0.0478753794334905,0.9780509988951509,0.16422731162413245,0.20868820851915387,0.2141052057237603,0.1485517978987005,0.26940330921824,0.16282495232894134,0.3127159906255946,-0.010444368133014187,0.2384091030732145,0.23260705112370048,0.25887199827337276,cholesky
open_path,1,1.5,100.0,20,0.003661478275722936,0.03231374789776744,0.9109733046374858,0.11195831784845292,0.14089994387498003,0.14451147381439786,0.0970208491409403,0.1778600733136956,0.10989958770630273,0.21106935974709476,-0.02613778225272632,0.14789057021271773,0.14649649613912816,0.1896129077902909,circulant
open_path,1,1.5,150.0,20,0.006950244869759492,0.03923892886341816,0.8612837758005396,0.13980254286531663,0.17117968083966345,0.17548182460576314,0.1214356910465961,0.21508121002369845,0.13345224199216266,0.25630377567362533,-0.02093289751126711,0.1835178713326978,0.18009179559818272,0.2317919076564503,circulant
open_path,1,1.5,200.0,20,0.009019617337678601,0.04356594212809705,0.8381862299348881,0.1552380117207914,0.19011361985292763,0.19483281620449372,0.130535713288069,0.23974654251889344,0.14816848522375536,0.2845672851335125,-0.016863820184655497,0.20746125413286828,0.20291020624720635,0.258131481415105,circulant
open_path,1,1.5,250.0,20,0.010203100880748552,0.046091869644068,0.8271703529992819,0.1625074004428082,0.20116871468002206,0.2061291074683902,0.1368841156033104,0.2535755008041258,0.1567592062215011,0.301066327746901,-0.014193682388695858,0.22228748638537507,0.21712346923606177,0.27417572463731743,circulant
open_path,1,1.5,300.0,20,0.01093276144802448,0.04742085078700029,0.8201305172322961,0.16783758295152723,0.20699161811719674,0.21207249182121413,0.14195725777211343,0.26227834761092095,0.16127909293163417,0.30974706635519045,-0.012500569142935394,0.23074660272811287,0.22525110247440425,0.28353701849794677,circulant
