run,geometry,n,CV,L_m,seed,e_signed,e_pure_representativeness,e_transport,sd_pred_loglinear,sd_pred_lognormal,sd_pred_mc,z_total_loglinear,z_pure_loglinear,z_total_lognormal,z_pure_lognormal,z_total_mc,z_pure_mc,pit_pure_mc
source_heterogeneity_les_rice_paddy_l250_cv0p5_s2_wind3_n1_op,open_path,1,0.5,250.0,2,-0.0714318889213883,-0.1033368878689048,0.0319049989475165,0.11929653220825472,0.12344527777557376,0.1222601063509092,-0.5987759040362581,-0.8662187069152242,-0.578652259596783,-0.8371068519670193,-0.5842616291888829,-0.8452216422281587,0.197
source_heterogeneity_les_rice_paddy_l250_cv0p5_s3_wind3_n1_op,open_path,1,0.5,250.0,3,-0.0963750574737445,-0.1002426108150451,0.0038675533413006,0.11929653220825472,0.12344527777557376,0.1222601063509092,-0.8078613492763023,-0.8402810120251661,-0.7807107668302751,-0.8120408704275296,-0.7882788617664882,-0.8199126747635095,0.20525
source_heterogeneity_les_rice_paddy_l250_cv0p5_s4_wind3_n1_op,open_path,1,0.5,250.0,4,0.0066441688036509,-0.0208917506145131,0.027535919418164,0.11929653220825472,0.12344527777557376,0.1222601063509092,0.0556945678190565,-0.17512454241371064,0.05382278628535427,-0.1692389615137386,0.05434453643104892,-0.170879539026,0.462
source_heterogeneity_les_rice_paddy_l250_cv0p5_s5_wind3_n1_op,open_path,1,0.5,250.0,5,-0.0599503185668042,-0.0624775981269964,0.0025272795601921,0.11929653220825472,0.12344527777557376,0.1222601063509092,-0.5025319467136694,-0.5237168002329683,-0.48564286659709416,-0.5061157401304734,-0.49035061686218123,-0.5110219514096781,0.31825
source_heterogeneity_les_rice_paddy_l250_cv0p5_s6_wind3_n1_op,open_path,1,0.5,250.0,6,-0.034921413594215,-0.0789611523291886,0.0440397387349736,0.11929653220825472,0.12344527777557376,0.1222601063509092,-0.29272781821732297,-0.6618897537721125,-0.2828898295948015,-0.6396449807723039,-0.2856321218467131,-0.6458456048005997,0.26775
source_heterogeneity_les_rice_paddy_l250_cv0p5_s7_wind3_n1_op,open_path,1,0.5,250.0,7,0.025225399668858,-0.0233492362777962,0.0485746359466542,0.11929653220825472,0.12344527777557376,0.1222601063509092,0.21145124004796956,-0.19572435045333658,0.20434479247329598,-0.1891464517601526,0.206325680729055,-0.19098000954440167,0.4545
source_heterogeneity_les_rice_paddy_l500_cv0p5_s0_wind3_n1_op,open_path,1,0.5,500.0,0,-0.0286364664806686,-0.0158310370968316,-0.0128054293838369,0.12606260525836654,0.1325736718206735,0.1282956656062449,-0.22716067482484503,-0.12558075461304116,-0.21600417403693753,-0.11941312991802429,-0.22320681174496904,-0.1233949488630348,0.483
source_heterogeneity_les_rice_paddy_l500_cv0p5_s1_wind3_n1_op,open_path,1,0.5,500.0,1,0.1316709161818647,0.1440579757616102,-0.0123870595797455,0.12606260525836654,0.1325736718206735,0.1282956656062449,1.0444882993811198,1.1427494732983026,0.9931905360513064,1.0866258268570173,1.0263083757324964,1.1228592570207458,0.8645
source_heterogeneity_les_rice_paddy_l500_cv0p5_s2_wind3_n1_op,open_path,1,0.5,500.0,2,0.1222801708356919,0.1095855804559766,0.0126945903797152,0.12606260525836654,0.1325736718206735,0.1282956656062449,0.9699955873914988,0.8692949049512334,0.9223563710379451,0.8266013828462724,0.9531122525291285,0.8541643237762074,0.81025
source_heterogeneity_les_rice_paddy_l500_cv0p5_s3_wind3_n1_op,open_path,1,0.5,500.0,3,0.011291591513189,-0.0310853561897619,0.0423769477029509,0.12606260525836654,0.1325736718206735,0.1282956656062449,0.08957130062516773,-0.24658665530552978,0.08517220167562857,-0.23447608988162955,0.08801226027264457,-0.24229467178701627,0.4355
source_heterogeneity_les_rice_paddy_l500_cv0p5_s4_wind3_n1_op,open_path,1,0.5,500.0,4,-0.0928850007100703,-0.1055124077812944,0.0126274070712241,0.12606260525836654,0.1325736718206735,0.1282956656062449,-0.7368164454455116,-0.8369841918231476,-0.7006293137578002,-0.7958775398784785,-0.723991728568179,-0.8224159973192307,0.20525
source_heterogeneity_les_rice_paddy_l500_cv0p5_s5_wind3_n1_op,open_path,1,0.5,500.0,5,-0.0571362002987597,-0.0950692203378293,0.0379330200390696,0.12606260525836654,0.1325736718206735,0.1282956656062449,-0.45323670871039434,-0.75414291290414,-0.43097697690718934,-0.7171048295805309,-0.44534786135423854,-0.7410166188280155,0.2305
source_heterogeneity_les_rice_paddy_l500_cv0p5_s6_wind3_n1_op,open_path,1,0.5,500.0,6,0.0377317703181921,0.0524797102729097,-0.0147479399547175,0.12606260525836654,0.1325736718206735,0.1282956656062449,0.2993097773987811,0.4162987919006752,0.2846098308963652,0.39585318526816293,0.29410011741156966,0.4090528703750317,0.68
