L_m,CV,seed,n,network,q_posterior_kg_s,q_rel_error,posterior_sigma_kg_s,ak_diagonal,chi2_per_dof_or_nan,converged
100,2.0,0,4,op,0.026219796,-0.056095,0.005758145,0.999967,0.9826,True
100,2.0,1,4,op,0.031034107,+0.117219,0.005758145,0.999967,0.2693,True
100,2.0,2,4,op,0.024309834,-0.124853,0.005758145,0.999967,0.0514,True
100,2.0,3,4,op,0.024631515,-0.113273,0.005758145,0.999967,0.9930,True
100,2.0,4,4,op,0.031164265,+0.121905,0.005758145,0.999967,0.2316,True
100,2.0,5,4,op,0.019625313,-0.293494,0.005758145,0.999967,1.7354,True
100,2.0,6,4,op,0.025573781,-0.079351,0.005758145,0.999967,0.4771,True
100,2.0,7,4,op,0.030218350,+0.087852,0.005758145,0.999967,2.5820,True
100,2.0,0,4,point,0.025012418,-0.099560,0.005746857,0.999967,1.2976,True
100,2.0,1,4,point,0.028593070,+0.029342,0.005746857,0.999967,0.5309,True
100,2.0,2,4,point,0.022219317,-0.200111,0.005746857,0.999967,0.1870,True
100,2.0,3,4,point,0.023127544,-0.167415,0.005746857,0.999967,1.1826,True
100,2.0,4,4,point,0.028347637,+0.020507,0.005746857,0.999967,0.3317,True
100,2.0,5,4,point,0.018882585,-0.320232,0.005746857,0.999967,1.9093,True
100,2.0,6,4,point,0.024086107,-0.132907,0.005746857,0.999967,0.7087,True
100,2.0,7,4,point,0.029119607,+0.048297,0.005746857,0.999967,3.2048,True
250,0.5,0,1,op,0.027999192,+0.007963,0.010876613,0.999882,nan,True
250,0.5,1,1,op,0.029618217,+0.066247,0.010876613,0.999882,nan,True
250,0.5,2,1,op,0.025793765,-0.071432,0.010876613,0.999882,nan,True
250,0.5,3,1,op,0.025100894,-0.096375,0.010876613,0.999882,nan,True
250,0.5,4,1,op,0.027962562,+0.006644,0.010876613,0.999882,nan,True
250,0.5,5,1,op,0.026112700,-0.059950,0.010876613,0.999882,nan,True
250,0.5,6,1,op,0.026807953,-0.034921,0.010876613,0.999882,nan,True
250,0.5,7,1,op,0.028478711,+0.025225,0.010876613,0.999882,nan,True
250,0.5,0,1,point,0.027949071,+0.006159,0.009821644,0.999904,nan,True
250,0.5,1,1,point,0.032143949,+0.157173,0.009821644,0.999904,nan,True
250,0.5,2,1,point,0.027607492,-0.006138,0.009821644,0.999904,nan,True
250,0.5,3,1,point,0.024798294,-0.107269,0.009821644,0.999904,nan,True
250,0.5,4,1,point,0.031247537,+0.124902,0.009821644,0.999904,nan,True
250,0.5,5,1,point,0.025325709,-0.088282,0.009821644,0.999904,nan,True
250,0.5,6,1,point,0.025586609,-0.078889,0.009821644,0.999904,nan,True
250,0.5,7,1,point,0.027659475,-0.004267,0.009821644,0.999904,nan,True
250,0.5,0,2,op,0.028134161,+0.012822,0.007707612,0.999941,0.9344,True
250,0.5,1,2,op,0.029772589,+0.071805,0.007707612,0.999941,0.4538,True
250,0.5,2,2,op,0.026078286,-0.061189,0.007707612,0.999941,0.4625,True
250,0.5,3,2,op,0.025251395,-0.090957,0.007707612,0.999941,0.6486,True
250,0.5,4,2,op,0.028078728,+0.010826,0.007707612,0.999941,0.2201,True
250,0.5,5,2,op,0.026508223,-0.045712,0.007707612,0.999941,1.6720,True
250,0.5,6,2,op,0.026809035,-0.034882,0.007707612,0.999941,0.2757,True
250,0.5,7,2,op,0.028723346,+0.034032,0.007707612,0.999941,0.8695,True
250,0.5,0,2,point,0.029786768,+0.072315,0.007962775,0.999937,0.9725,True
250,0.5,1,2,point,0.031838183,+0.146165,0.007962775,0.999937,0.2141,True
250,0.5,2,2,point,0.027917577,+0.005025,0.007962775,0.999937,0.2866,True
250,0.5,3,2,point,0.025753129,-0.072895,0.007962775,0.999937,0.5126,True
250,0.5,4,2,point,0.029015782,+0.044560,0.007962775,0.999937,0.0740,True
250,0.5,5,2,point,0.027638553,-0.005020,0.007962775,0.999937,1.6383,True
250,0.5,6,2,point,0.029924815,+0.077285,0.007962775,0.999937,0.0838,True
250,0.5,7,2,point,0.031898886,+0.148351,0.007962775,0.999937,0.6554,True
250,0.5,0,3,op,0.028483324,+0.025391,0.006541535,0.999957,0.7851,True
250,0.5,1,3,op,0.029968574,+0.078860,0.006541535,0.999957,0.2218,True
250,0.5,2,3,op,0.026262351,-0.054563,0.006541535,0.999957,0.2165,True
250,0.5,3,3,op,0.025679784,-0.075535,0.006541535,0.999957,0.6926,True
250,0.5,4,3,op,0.028183323,+0.014592,0.006541535,0.999957,0.0925,True
250,0.5,5,3,op,0.026774956,-0.036109,0.006541535,0.999957,1.4464,True
250,0.5,6,3,op,0.027486933,-0.010478,0.006541535,0.999957,0.2898,True
250,0.5,7,3,op,0.029184484,+0.050633,0.006541535,0.999957,0.6345,True
250,0.5,0,3,point,0.030329491,+0.091853,0.006713806,0.999955,0.6567,True
250,0.5,1,3,point,0.031944971,+0.150010,0.006713806,0.999955,0.1763,True
250,0.5,2,3,point,0.028118109,+0.012244,0.006713806,0.999955,0.1595,True
250,0.5,3,3,point,0.027209539,-0.020464,0.006713806,0.999955,0.6336,True
250,0.5,4,3,point,0.029709243,+0.069524,0.006713806,0.999955,0.1286,True
250,0.5,5,3,point,0.028330427,+0.019887,0.006713806,0.999955,1.3732,True
250,0.5,6,3,point,0.029077783,+0.046792,0.006713806,0.999955,0.1968,True
250,0.5,7,3,point,0.031245836,+0.124841,0.006713806,0.999955,0.4968,True
250,0.5,0,4,op,0.029004579,+0.044157,0.005758145,0.999967,0.8365,True
250,0.5,1,4,op,0.030466671,+0.096791,0.005758145,0.999967,0.2940,True
250,0.5,2,4,op,0.026832640,-0.034033,0.005758145,0.999967,0.2799,True
250,0.5,3,4,op,0.026094594,-0.060602,0.005758145,0.999967,0.7830,True
250,0.5,4,4,op,0.028618255,+0.030249,0.005758145,0.999967,0.1421,True
250,0.5,5,4,op,0.027531129,-0.008887,0.005758145,0.999967,1.5242,True
250,0.5,6,4,op,0.027707462,-0.002539,0.005758145,0.999967,0.3221,True
250,0.5,7,4,op,0.029692778,+0.068931,0.005758145,0.999967,0.6894,True
