run,L_m,CV,n,geometry,abs_error_pct,Q_hat_kg_s,inverse_crime_flag,posterior_sigma_kg_s,dfs,prior_influence,n_obs,dof,Q_hat_recomputed_kg_s,posterior_sigma_recomputed_kg_s,bias_total_pct,bias_aggregation_pct,bias_transport_pct,chi2,chi2_per_dof
source_heterogeneity_les_rice_paddy_l500_cv0p5_wind3_n4_point,500,0.5,4,Point,4.583564805031698,0.0265047773684583,False,0.005746856675797012,0.9999669736383479,3.302636165214423e-05,4,3,0.02650477736845812,0.00574685667579715,-4.583564805032335,3.999829342733008,-8.583394147765343,4.216258708863638,1.4054195696212126
source_heterogeneity_les_rice_paddy_l100_cv1p0_wind3_n1_point,100,1.0,1,Point,7.254762455250854,0.02576277208518042,False,0.009821643975094635,0.9999035353096265,9.646469037349892e-05,1,0,0.02576277208518043,0.009821643975094758,-7.254762455250818,-25.44130076311977,18.186538307868954,0.0006637844572750977,
source_heterogeneity_les_rice_paddy_l100_cv1p0_wind3_n2_point,100,1.0,2,Point,5.793955825210006,0.02938744504912684,False,0.007962775240819868,0.9999365942104642,6.340578953578646e-05,2,1,0.029387445049126756,0.00796277524082009,5.79395582520972,-14.251706922065798,20.045662747275518,1.2997460931960343,1.2997460931960343
source_heterogeneity_les_rice_paddy_l100_cv1p0_wind3_n3_point,100,1.0,3,Point,3.3539972727069185,0.028709673362412532,False,0.006713805683776611,0.9999549248132404,4.5075186759557795e-05,3,2,0.028709673362412456,0.006713805683776796,3.353997272706657,-16.50497598483042,19.858973257537073,1.2296311323522784,0.6148155661761392
source_heterogeneity_les_rice_paddy_l100_cv1p0_wind3_n4_point,100,1.0,4,Point,3.953636257235517,0.026679758920465122,False,0.005746856675797012,0.9999669736383479,3.302636165214423e-05,4,3,0.026679758920464872,0.00574685667579715,-3.9536362572364037,6.745249767995335,-10.698886025231738,3.705552818050171,1.2351842726833904
source_heterogeneity_les_rice_paddy_l250_cv1p0_wind3_n1_point,250,1.0,1,Point,6.750101286219039,0.02590295686471408,False,0.009821643975094635,0.9999035353096265,9.646469037349892e-05,1,0,0.025902956864714086,0.009821643975094758,-6.750101286219001,-20.402950808767567,13.652849522548566,0.0006710279048343104,
source_heterogeneity_les_rice_paddy_l250_cv1p0_wind3_n2_point,250,1.0,2,Point,2.632370518090318,0.028509219882515133,False,0.007962775240819868,0.9999365942104642,6.340578953578646e-05,2,1,0.028509219882515043,0.00796277524082009,2.6323705180900063,-17.825331663138353,20.45770218122836,1.276431873010427,1.276431873010427
source_heterogeneity_les_rice_paddy_l250_cv1p0_wind3_n3_point,250,1.0,3,Point,3.648365680042375,0.028791443018602175,False,0.006713805683776611,0.9999549248132404,4.5075186759557795e-05,3,2,0.02879144301860209,0.006713805683776796,3.648365680042076,-12.97574318363691,16.624108863678984,1.3451328515432603,0.6725664257716302
source_heterogeneity_les_rice_paddy_l250_cv1p0_wind3_n4_point,250,1.0,4,Point,4.385538255910568,0.026559785183273166,False,0.005746856675797012,0.9999669736383479,3.302636165214423e-05,4,3,0.026559785183272917,0.00574685667579715,-4.385538255911455,7.07625038380767,-11.461788639719124,3.7839560203720985,1.2613186734573663
source_heterogeneity_les_rice_paddy_l500_cv1p0_wind3_n1_point,500,1.0,1,Point,8.876724168624309,0.025312223560439537,False,0.009821643975094635,0.9999035353096265,9.646469037349892e-05,1,0,0.025312223560439544,0.009821643975094758,-8.876724168624296,-10.925765729976165,2.0490415613518698,0.0006407704732989781,
